datneg,preult_tr
2011-10-11,128.97736599912426
2011-10-13,131.45871524266042
2011-10-14,130.93076859509952
2011-10-17,130.40282194753863
2011-10-18,130.19164328851429
2011-10-19,130.614000606563
2011-10-20,127.7630887097342
2011-10-21,130.40282194753863
2011-10-24,129.34692865241686
2011-10-25,128.60780334583163
2011-10-26,127.65749938022203
2011-10-27,127.7630887097342
2011-10-28,126.39042742607592
2011-10-31,125.33453413095414
2011-11-01,126.39042742607592
2011-11-03,125.32832299392402
2011-11-04,124.05379767534173
2011-11-07,123.73516634569617
2011-11-08,123.20411412962022
2011-11-09,125.85937520999997
2011-11-10,128.5146362903797
2011-11-11,127.45253185822781
2011-11-14,127.45253185822781
2011-11-16,128.5146362903797
2011-11-17,130.00158249539237
2011-11-18,131.7009495868354
