data,imab5
07-07-2005,1.026738876
08-07-2005,1.026486878
11-07-2005,1.026921288
12-07-2005,1.026977550
13-07-2005,1.027278521
14-07-2005,1.027637004
15-07-2005,1.027988861
18-07-2005,1.028630310
19-07-2005,1.029244873
20-07-2005,1.030008193
21-07-2005,1.030660215
22-07-2005,1.031313359
25-07-2005,1.031390138
26-07-2005,1.031898115
27-07-2005,1.032479942
28-07-2005,1.033017306
29-07-2005,1.033625043
01-08-2005,1.034187879
02-08-2005,1.034707049
03-08-2005,1.035315096
04-08-2005,1.035870032
05-08-2005,1.036327609
08-08-2005,1.036931321
09-08-2005,1.037375938
10-08-2005,1.037946844
11-08-2005,1.038518243
12-08-2005,1.039097508
15-08-2005,1.039676308
16-08-2005,1.040283724
17-08-2005,1.040900016
18-08-2005,1.041273142
19-08-2005,1.041798886
22-08-2005,1.042422724
23-08-2005,1.042939051
24-08-2005,1.043230391
25-08-2005,1.043654864
26-08-2005,1.043620173
29-08-2005,1.044246242
30-08-2005,1.044745348
31-08-2005,1.045231788
01-09-2005,1.045675222
02-09-2005,1.046038971
05-09-2005,1.046801398
06-09-2005,1.047071718
08-09-2005,1.047629369
09-09-2005,1.048020367
12-09-2005,1.048629996
13-09-2005,1.049204303
14-09-2005,1.049503694
15-09-2005,1.050065303
16-09-2005,1.050458357
19-09-2005,1.051156784
20-09-2005,1.052012738
21-09-2005,1.052573326
22-09-2005,1.053331552
23-09-2005,1.054224205
26-09-2005,1.054811822
27-09-2005,1.055296918
28-09-2005,1.055552767
29-09-2005,1.055962346
30-09-2005,1.048742520
03-10-2005,1.047203992
04-10-2005,1.045585316
05-10-2005,1.045958683
06-10-2005,1.046489279
07-10-2005,1.047133481
10-10-2005,1.047754982
11-10-2005,1.048384715
13-10-2005,1.048679586
14-10-2005,1.048794289
17-10-2005,1.049350802
18-10-2005,1.049756826
19-10-2005,1.050358749
20-10-2005,1.051220872
21-10-2005,1.051999932
24-10-2005,1.052813894
25-10-2005,1.053357777
26-10-2005,1.053898393
27-10-2005,1.054626019
28-10-2005,1.055401881
31-10-2005,1.056165463
01-11-2005,1.056910903
03-11-2005,1.057898447
04-11-2005,1.058697659
07-11-2005,1.059473914
08-11-2005,1.060386081
09-11-2005,1.061335858
10-11-2005,1.063981977
11-11-2005,1.064983933
14-11-2005,1.065883633
16-11-2005,1.066863559
17-11-2005,1.067651472
18-11-2005,1.068342487
21-11-2005,1.069070588
22-11-2005,1.069790863
23-11-2005,1.070550127
24-11-2005,1.071576743
25-11-2005,1.072919751
28-11-2005,1.075199721
29-11-2005,1.076249305
30-11-2005,1.079972520
01-12-2005,1.079864631
02-12-2005,1.080372209
05-12-2005,1.081302734
06-12-2005,1.083774811
07-12-2005,1.085155141
08-12-2005,1.085521751
09-12-2005,1.085852285
12-12-2005,1.086092457
13-12-2005,1.087647129
14-12-2005,1.088434712
15-12-2005,1.090456170
16-12-2005,1.091399445
19-12-2005,1.092583847
20-12-2005,1.093378724
21-12-2005,1.094491685
22-12-2005,1.096402941
23-12-2005,1.098855584
26-12-2005,1.099995012
27-12-2005,1.100259200
28-12-2005,1.100591951
29-12-2005,1.101236645
30-12-2005,1.101860138
02-01-2006,1.102270604
03-01-2006,1.103526565
04-01-2006,1.104680226
05-01-2006,1.107213697
06-01-2006,1.108587707
09-01-2006,1.111646810
10-01-2006,1.117346884
11-01-2006,1.118357415
12-01-2006,1.123177153
13-01-2006,1.125121208
16-01-2006,1.126294567
17-01-2006,1.128032506
18-01-2006,1.128668189
19-01-2006,1.130620400
20-01-2006,1.130152246
23-01-2006,1.130862733
24-01-2006,1.131399001
25-01-2006,1.132141042
26-01-2006,1.132427408
27-01-2006,1.132667532
30-01-2006,1.133623887
31-01-2006,1.134695419
01-02-2006,1.135657955
02-02-2006,1.136620359
03-02-2006,1.138242798
06-02-2006,1.141108527
07-02-2006,1.143470244
08-02-2006,1.145636758
09-02-2006,1.149180299
10-02-2006,1.154209852
13-02-2006,1.159782985
14-02-2006,1.161589738
15-02-2006,1.156774190
