data,valor
2022-01-07,2759.5701
2022-01-06,2757.2900
2022-01-05,2760.1399
2022-01-04,2787.2600
2022-01-03,2789.1399
2021-12-30,2804.7900
2021-12-29,2789.3201
2021-12-28,2768.0200
2021-12-27,2743.6799
2021-12-23,2724.6001
2021-12-22,2706.6399
2021-12-21,2703.2400
2021-12-20,2695.0500
2021-12-17,2694.7300
2021-12-16,2681.3501
2021-12-15,2676.1399
2021-12-14,2668.7300
2021-12-13,2673.9199
2021-12-10,2673.9399
2021-12-09,2669.0601
2021-12-08,2673.2100
2021-12-07,2660.8899
2021-12-06,2643.1001
2021-12-03,2610.6699
2021-12-02,2582.8701
2021-12-01,2581.2900
2021-11-30,2578.3999
2021-11-29,2563.7600
2021-11-26,2541.5200
2021-11-25,2545.9800
2021-11-24,2546.8701
2021-11-23,2563.6101
2021-11-22,2581.4299
2021-11-19,2594.1299
2021-11-18,2591.0200
2021-11-17,2603.6201
2021-11-16,2612.6699
2021-11-12,2617.7600
2021-11-11,2621.8799
2021-11-10,2627.2000
2021-11-09,2627.1899
2021-11-08,2640.4399
2021-11-05,2654.8899
2021-11-04,2655.3999
2021-11-03,2664.9700
2021-11-01,2673.2300
2021-10-29,2675.6799
2021-10-28,2673.9299
2021-10-27,2680.7800
2021-10-26,2693.6399
2021-10-25,2708.0000
2021-10-22,2712.3799
2021-10-21,2724.9399
2021-10-20,2738.3899
2021-10-19,2740.0601
2021-10-18,2747.5500
2021-10-15,2743.9299
2021-10-14,2732.6699
2021-10-13,2727.8601
2021-10-11,2727.0601
2021-10-08,2716.4700
2021-10-07,2710.8601
2021-10-06,2711.0000
2021-10-05,2707.9399
2021-10-04,2707.3899
2021-10-01,2714.6201
2021-09-30,2715.6699
2021-09-29,2700.3601
2021-09-28,2700.3201
2021-09-27,2711.7600
2021-09-24,2709.3999
2021-09-23,2705.3799
2021-09-22,2702.5000
2021-09-21,2699.3701
2021-09-20,2700.5901
2021-09-17,2729.8301
2021-09-16,2727.6799
2021-09-15,2730.9299
2021-09-14,2728.3101
2021-09-13,2727.5000
2021-09-10,2727.9099
2021-09-09,2720.1399
2021-09-08,2715.0901
2021-09-06,2732.9500
2021-09-03,2733.2400
2021-09-02,2745.4199
2021-09-01,2750.7400
2021-08-31,2749.8401
2021-08-30,2741.1899
2021-08-27,2731.2100
2021-08-26,2723.5500
2021-08-25,2720.9500
2021-08-24,2720.6001
2021-08-23,2719.4299
2021-08-20,2705.3401
2021-08-19,2690.6299
2021-08-18,2703.3999
2021-08-17,2708.3000
2021-08-16,2725.1001
2021-08-13,2741.1101
2021-08-12,2722.3201
2021-08-11,2739.9099
2021-08-10,2755.4900
2021-08-09,2769.5300
2021-08-06,2778.5601
2021-08-05,2781.0200
2021-08-04,2792.6599
2021-08-03,2800.6101
2021-08-02,2812.6599
2021-07-30,2824.1201
2021-07-29,2818.9099
2021-07-28,2816.9099
2021-07-27,2817.5100
2021-07-26,2825.3701
2021-07-23,2828.2300
2021-07-22,2834.1299
2021-07-21,2837.7300
2021-07-20,2839.6599
2021-07-19,2836.1799
2021-07-16,2841.3501
2021-07-15,2838.7300
2021-07-14,2830.8501
2021-07-13,2823.8101
2021-07-12,2797.8999
2021-07-08,2762.0300
2021-07-07,2762.3501
2021-07-06,2761.4900
2021-07-05,2755.5901
2021-07-02,2760.1699
2021-07-01,2754.0300
2021-06-30,2754.8899
2021-06-29,2746.1001
2021-06-28,2705.8401
2021-06-25,2725.0801
2021-06-24,2781.2500
2021-06-23,2780.4900
2021-06-22,2797.5701
2021-06-21,2811.1699
2021-06-18,2813.3101
2021-06-17,2812.8401
2021-06-16,2815.5300
2021-06-15,2819.3701
2021-06-14,2821.9600
2021-06-11,2828.7600
2021-06-10,2831.3000
2021-06-09,2831.9700
2021-06-08,2829.6499
2021-06-07,2827.5100
2021-06-04,2827.7600
2021-06-02,2821.9500
2021-06-01,2811.5601
2021-05-31,2816.4600
2021-05-28,2811.6201
2021-05-27,2792.6699
2021-05-26,2788.3501
2021-05-25,2799.1799
2021-05-24,2802.8201
2021-05-21,2804.0500
2021-05-20,2806.4700
2021-05-19,2801.3201
2021-05-18,2808.1299
2021-05-17,2811.1001
2021-05-14,2826.1001
2021-05-13,2827.6001
2021-05-12,2831.0901
2021-05-11,2839.3999
2021-05-10,2846.2800
2021-05-07,2856.6299
2021-05-06,2855.2800
2021-05-05,2855.0500
2021-05-04,2856.2200
2021-05-03,2862.4299
2021-04-30,2861.1499
2021-04-29,2849.0100
2021-04-28,2842.3899
2021-04-27,2845.3601
2021-04-26,2844.4800
2021-04-23,2844.6299
2021-04-22,2839.2600
2021-04-20,2841.9199
2021-04-19,2840.8000
2021-04-16,2847.4299
2021-04-15,2843.5100
2021-04-14,2840.5400
2021-04-13,2843.3701
2021-04-12,2845.0100
2021-04-09,2849.2900
2021-04-08,2842.5901
2021-04-07,2843.3000
2021-04-06,2843.9800
2021-04-05,2847.6399
2021-04-01,2850.0100
2021-03-31,2846.7700
2021-03-30,2831.8101
2021-03-29,2818.8999
2021-03-26,2817.7000
2021-03-25,2813.8000
2021-03-24,2814.6101
2021-03-23,2813.9600
2021-03-22,2815.5400
2021-03-19,2819.1399
2021-03-18,2808.7100
2021-03-17,2817.2000
2021-03-16,2822.9500
2021-03-15,2830.9299
2021-03-12,2838.2600
2021-03-11,2837.0500
2021-03-10,2833.6299
2021-03-09,2842.7500
2021-03-08,2845.4199
2021-03-05,2852.6799
2021-03-04,2847.6899
2021-03-03,2848.7500
2021-03-02,2858.8101
2021-03-01,2877.2200
2021-02-26,2886.5300
2021-02-25,2893.8000
2021-02-24,2892.0000
2021-02-23,2890.4299
2021-02-22,2874.9199
2021-02-19,2893.9700
2021-02-18,2890.7700
2021-02-17,2895.3999
2021-02-12,2897.2400
2021-02-11,2893.9800
2021-02-10,2892.1599
2021-02-09,2892.1001
2021-02-08,2892.1899
2021-02-05,2894.7900
